Name;WHORegion;Casescumulativetotal;Casescumulativetotalper100000population;Casesnewlyreportedinlast7days;Casesnewlyreportedinlast7daysper100000population;Casesnewlyreportedinlast24hours;Deathscumulativetotal;Deathscumulativetotalper100000population;Deathsnewlyreportedinlast7days;Deathsnewlyreportedinlast7daysper100000population;Deathsnewlyreportedinlast24hours
Global;;770875433;9,88994E+15;2751;3,52939E+16;0;6959316;8,92845E+14;25;3,20737E+16;0
United States of America;Americas;103436829;31249547;0;0;0;1127152;340527;0;0;0
China;Western Pacific;99311610;6749983;763;52;0;121714;8273;0;0;0
India;South-East Asia;44998525;3260752;231;17;0;532031;38553;0;0;0
France;Europe;38997490;59959831;0;0;0;167985;258282;0;0;0
Germany;Europe;38437756;46217718;0;0;0;174979;210395;0;0;0
Brazil;Americas;37720419;17745824;0;0;0;704659;331512;0;0;0
Republic of Korea;Western Pacific;34571873;67432071;0;0;0;35934;70089;0;0;0
Japan;Western Pacific;33803572;26727165;0;0;0;74694;59058;0;0;0
Italy;Europe;26007789;43606875;0;0;0;191469;321033;0;0;0
The United Kingdom;Europe;24715857;36407883;0;0;0;229307;337782;0;0;0
Russian Federation;Europe;23014969;15770757;0;0;0;400023;274111;0;0;0
Türkiye;Europe;17004677;20162278;0;0;0;101419;120252;0;0;0
Spain;Europe;13980340;29536378;0;0;0;121852;257438;0;0;0
Viet Nam;Western Pacific;11623571;11941381;110;113;0;43206;44387;0;0;0
Australia;Western Pacific;11600795;45493521;0;0;0;23601;92553;0;0;0
Argentina;Americas;10054576;22246717;0;0;0;130472;288682;0;0;0
Netherlands;Europe;8617412;49503777;0;0;0;22986;132046;0;0;0
Mexico;Americas;7686132;5961349;0;0;0;334586;259504;0;0;0
Iran (Islamic Republic of);Eastern Mediterranean;7616791;906837;969;1154;0;146386;174284;22;26;0
Indonesia;South-East Asia;6813429;2490984;0;0;0;161918;59197;0;0;0
Poland;Europe;6520928;17179262;0;0;0;119644;3152;0;0;0
Colombia;Americas;6381318;12541186;0;0;0;142977;280992;0;0;0
Austria;Europe;6081287;683209;0;0;0;22534;253161;0;0;0
Portugal;Europe;5610180;54489409;0;0;0;27247;264639;0;0;0
Ukraine;Europe;5518385;12618136;0;0;0;109904;251302;0;0;0
Greece;Europe;5370810;50107547;0;0;0;37413;349049;0;0;0
Chile;Americas;5289235;27668861;0;0;0;61606;322271;0;0;0
Malaysia;Western Pacific;5127712;15842897;0;0;0;37190;114905;0;0;0
Israel;Europe;4837580;55889978;0;0;0;12670;14638;0;0;0
Belgium;Europe;4812396;41765425;0;0;0;34339;298018;0;0;0
Thailand;South-East Asia;4757283;6815594;234;335;0;34473;49388;2;3;0
Canada;Americas;4697504;12446306;0;0;0;53147;140816;0;0;0
Czechia;Europe;4647761;43461637;0;0;0;42832;400526;0;0;0
Peru;Americas;4519052;13705787;0;0;0;221465;671679;0;0;0
Switzerland;Europe;4412555;50984977;0;0;0;14054;162387;0;0;0
Philippines;Western Pacific;4112293;375274;0;0;0;66685;60854;0;0;0
South Africa;Africa;4072533;6866672;0;0;0;102595;172985;0;0;0
Romania;Europe;3440346;17799032;0;0;0;68314;35343;0;0;0
Denmark;Europe;3416698;58678294;0;0;0;8814;151371;0;0;0
Sweden;Europe;2715809;26296641;0;0;0;24767;239814;0;0;0
Singapore;Western Pacific;2579966;44099405;0;0;0;1872;31998;0;0;0
Serbia;Europe;2549375;36805018;0;0;0;18057;260687;0;0;0
Iraq;Eastern Mediterranean;2465545;6129767;0;0;0;25375;63087;0;0;0
New Zealand;Western Pacific;2383066;49418309;0;0;0;3329;69034;0;0;0
Hungary;Europe;2204488;22564943;0;0;0;48803;499543;0;0;0
Bangladesh;South-East Asia;2045671;1242139;38;23;0;29477;17899;0;0;0
Slovakia;Europe;1867421;34215179;0;0;0;21167;387825;0;0;0
Georgia;Europe;1855289;46508088;0;0;0;17132;429462;0;0;0
Jordan;Eastern Mediterranean;1746997;17122161;0;0;0;14122;138408;0;0;0
Ireland;Europe;1719863;34643646;0;0;0;9209;185499;0;0;0
Pakistan;Eastern Mediterranean;1580631;715566;0;0;0;30656;13878;0;0;0
Kazakhstan;Europe;1502857;8003837;0;0;0;19072;101573;0;0;0
Norway;Europe;1488692;27734882;0;0;0;5667;105578;0;0;0
Finland;Europe;1485088;26878;0;0;0;10201;184624;0;0;0
Slovenia;Europe;1344826;64165801;0;0;0;9435;450173;0;0;0
Lithuania;Europe;1324683;47410176;0;0;0;9704;347304;0;0;0
Bulgaria;Europe;1299930;18700041;0;0;0;38403;552443;0;0;0
Morocco;Eastern Mediterranean;1276635;3458726;205;555;0;16297;44153;0;0;0
Croatia;Europe;1275071;31419891;0;0;0;18332;451731;0;0;0
Guatemala;Americas;1271180;7095393;0;0;0;20235;112946;0;0;0
Puerto Rico;Americas;1252713;43788094;0;0;0;5938;20756;0;0;0
Lebanon;Eastern Mediterranean;1239904;18165907;0;0;0;10947;160385;0;0;0
